InstanceName,N,n,m_Max,m_0,V_max,V_0,Method,Time,LimitTime,NBMinColum,Strategy,LowerBound,GenerateCol,maxNbCallHeuristics,Memorization,NBNodes,NBCut,NBCleaning,NBCutInMemo,NBRemInMemo,NBComputeCost,NBCallsHeu,NBCallDP,NBCallSubProcessCG,NBCallSubProcessBaB,isOptimal,Objective
instance4_n_10_N_40_tf_1.0_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0995926,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
instance1_n_10_N_40_tf_0.8_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.104663,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance7_n_20_N_40_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.261169,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance2_n_30_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,42.2188,300,1,depth-first,Columns_Generation,0,1,1,1692,1240,0,510,0,27109,0,28094,0,310,1,11
instance9_n_30_N_40_tf_0.8_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,62.0449,300,nan,depth-first,LB_from_MIP,nan,nan,1,14169,17909,0,16863,0,22,0,0,0,2026,1,14
instance1_n_30_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,39.8098,300,nan,depth-first,LB_from_MIP,nan,nan,1,8090,8282,0,7641,0,22,0,0,0,545,1,13
instance4_n_20_N_40_tf_0.2_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.345994,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance5_n_10_N_40_tf_0.2_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.120528,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance2_n_20_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.393599,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance4_n_30_N_40_tf_0.8_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,1.05771,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,54
instance1_n_20_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.407838,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance1_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0764174,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance1_n_20_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.298807,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance6_n_20_N_40_tf_0.8_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,1.27748,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,4
instance5_n_20_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.231949,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance3_n_20_N_40_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.281442,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance2_n_30_N_40_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,0.746784,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
instance5_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0970333,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance7_n_30_N_40_tf_1.0_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,2.01723,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,62
instance7_n_20_N_40_tf_0.8_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.278672,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10
