InstanceName,N,n,m_Max,m_0,V_max,V_0,Method,Time,LimitTime,Objective,isOptimal,NBNodes,InstancePath
instance3_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.102617,300,0,1,0,nan
instance4_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0751145,300,0,1,0,nan
instance5_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0735659,300,0,1,0,nan
instance6_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0914692,300,0,1,0,nan
instance7_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.101774,300,0,1,0,nan
instance8_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0733004,300,0,1,0,nan
instance9_n_10_N_40_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0777347,300,0,1,0,nan
instance0_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0620563,300,0,1,0,nan
instance1_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.068829,300,0,1,0,nan
instance2_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0934085,300,0,1,0,nan
instance3_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0862243,300,0,1,0,nan
instance4_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0787485,300,0,1,0,nan
instance5_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0708979,300,0,1,0,nan
instance6_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.073128,300,0,1,0,nan
instance7_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0710275,300,0,1,0,nan
instance8_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0667068,300,0,1,0,nan
instance9_n_10_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.105652,300,0,1,0,nan
instance0_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0804489,300,0,1,0,nan
instance1_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0732072,300,0,1,0,nan
instance2_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0931528,300,0,1,0,nan
instance3_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.113494,300,0,1,0,nan
instance4_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0795968,300,0,1,0,nan
instance5_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.108013,300,0,1,0,nan
instance6_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.105565,300,0,1,0,nan
instance7_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0952498,300,0,1,0,nan
instance8_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0871775,300,0,1,0,nan
instance9_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0792456,300,0,1,0,nan
instance0_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0760539,300,0,1,0,nan
instance1_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0661077,300,0,1,0,nan
instance2_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0814842,300,0,1,0,nan
instance3_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.100735,300,0,1,0,nan
